customer_state,ptc_aearly,ptc_on_time,ptc_delayed,total
AC,95.0,1.25,3.75,80
AL,72.8,5.79,21.41,397
AM,95.86,1.38,2.76,145
AP,95.52,1.49,2.99,67
BA,84.12,3.72,12.16,3256
CE,83.19,3.05,13.76,1279
DF,92.21,2.12,5.67,2080
ES,85.81,3.46,10.73,1995
GO,90.55,2.91,6.54,1957
MA,79.22,3.35,17.43,717
MG,93.23,2.19,4.58,11355
MS,86.73,3.57,9.7,701
MT,91.87,2.14,5.98,886
PA,86.68,2.11,11.21,946
PB,87.23,2.32,10.44,517
PE,88.07,2.32,9.6,1593
PI,82.35,3.78,13.87,476
PR,93.78,2.17,4.04,4923
RJ,85.08,2.82,12.1,12353
RN,87.13,3.59,9.28,474
RO,96.3,0.82,2.88,243
RR,87.8,0.0,12.2,41
RS,91.69,2.23,6.08,5344
SC,88.55,3.24,8.2,3547
SE,83.88,0.9,15.22,335
SP,92.37,3.13,4.49,40495
TO,85.04,5.11,9.85,274
